ID,Name,Link,Exam,Questions,Answers
6,Auctions,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=6&fagnavn=Auctions,2014 Sommer,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/AuctionsF14 Examination June 2014.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Autions S14.pdf
6,Auctions,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=6&fagnavn=Auctions,"2014 Sommer, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Auctions August 2014.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Auctions august 14.pdf
6,Auctions,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=6&fagnavn=Auctions,2013 Sommer,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/AuctionsF13 Exam June 2013.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Auctions S13.pdf
6,Auctions,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=6&fagnavn=Auctions,2012 Sommer,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Auctions S12.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Auctions s12.pdf
6,Auctions,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=6&fagnavn=Auctions,2010 Sommer,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv ØH_2019_aug_SVAR.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv Foundations S17.pdf
6,Auctions,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=6&fagnavn=Auctions,"2010 Sommer, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Auctions SR10.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/Rv Auctions SR10.pdf
8,Contract Theory and the Economics of Organization ,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=8&fagnavn=Contract%20Theory%20and%20the%20Economics%20of%20Organization%20,"2019 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/CT-2019-resit-exam-v3-merged.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv CT-2019-resit-exam-sols-v2.pdf
8,Contract Theory and the Economics of Organization ,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=8&fagnavn=Contract%20Theory%20and%20the%20Economics%20of%20Organization%20,2019 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/CT-2019-exam-v2-merged.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv CT-2019-exam-sols-v3.pdf
8,Contract Theory and the Economics of Organization ,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=8&fagnavn=Contract%20Theory%20and%20the%20Economics%20of%20Organization%20,"2018 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/CT-2018-resit-exam-v3.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv CT-2018-resit-exam-sols-v3.pdf
8,Contract Theory and the Economics of Organization ,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=8&fagnavn=Contract%20Theory%20and%20the%20Economics%20of%20Organization%20,2018 Vinter,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/CT-2018-exam-v3-merged.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv CT-2018-exam-v3-sols-v2.pdf
8,Contract Theory and the Economics of Organization ,https://web3.econ.ku.dk/polit/studerende/eksamen/opgrv/cms-ku/dansk.asp?fag_id=8&fagnavn=Contract%20Theory%20and%20the%20Economics%20of%20Organization%20,"2017 Vinter, prøve 2",http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/CT-2017-resit-exam-v1.pdf,http://web.econ.ku.dk/polit/studerende/eksamen/opgrv/filer/rv CT-2017-resit-exam-v2-sols-v2.pdf
